source_file_id,source_file_name,intended_destination_folder,final_folder_id,move_status,moved_at,moved_by / executor,notes
1pINtlCkdodyujJ2U4kJ_uKsWeunTIfot,Screenshot_20260601_154620_Facebook.jpg,TradeScout_Contractors/Roofing,,blocked_drive_permission_or_parent_semantics,2026-06-14T14:39:28.730Z,flavo,Contractor screenshot; explicitly excluded from MealScout/Merlin food seeding | parent_fallback=root | retry_state=failed_via_diagnose | parent_fallback=root | retry_state=failed_via_diagnose | parent_fallback=root | retry_state=failed_via_diagnose | move_error=Increasing the number of parents is not allowed
1B0dXVM2qslvPpND4LVztg84-N3GnbwoF,IMG_5982.PNG,MealScout_Merlin_Evidence_Seeds,,blocked_drive_permission_or_parent_semantics,2026-06-14T14:39:30.437Z,flavo,Food business evidence seed route only after move | parent_fallback=root | retry_state=failed_via_diagnose | parent_fallback=root | retry_state=failed_via_diagnose | parent_fallback=root | retry_state=failed_via_diagnose | move_error=Increasing the number of parents is not allowed
1xHQnlIjrIBF8WaI1ly2fibLl8IkQqKJB,IMG_5980.PNG,MealScout_Merlin_Evidence_Seeds,,blocked_drive_permission_or_parent_semantics,2026-06-14T14:39:31.912Z,flavo,Food business evidence seed route only after move | parent_fallback=root | retry_state=failed_via_diagnose | parent_fallback=root | retry_state=failed_via_diagnose | parent_fallback=root | retry_state=failed_via_diagnose | move_error=Increasing the number of parents is not allowed
1MteEYZxSUfaJ_G1fnQqt2JxXc4FG0QDJ,IMG_5979.PNG,Restaurants_Needs_Review,,blocked_drive_permission_or_parent_semantics,2026-06-14T14:39:32.915Z,flavo,Requires manual review before any seed action | parent_fallback=root | retry_state=failed_via_diagnose | parent_fallback=root | retry_state=failed_via_diagnose | parent_fallback=root | retry_state=failed_via_diagnose | move_error=Increasing the number of parents is not allowed
1SmNwaEG_QiG9KpR-f5d8CDfyeT-9xik1,IMG_5981.PNG,MealScout_Blocked_From_Seed,,blocked_drive_permission_or_parent_semantics,2026-06-14T14:39:34.346Z,flavo,Invalid extraction identity blocked from seed | parent_fallback=root | retry_state=failed_via_diagnose | parent_fallback=root | retry_state=failed_via_diagnose | parent_fallback=root | retry_state=failed_via_diagnose | move_error=Increasing the number of parents is not allowed
1LvSG-Vn9D137OrlevhCgQR3h1KYP01jm,IMG_5983.PNG,Unknown_Project,,blocked_drive_permission_or_parent_semantics,2026-06-14T14:39:35.765Z,flavo,Missing identity signals hold for manual classification | parent_fallback=root | retry_state=failed_via_diagnose | parent_fallback=root | retry_state=failed_via_diagnose | parent_fallback=root | retry_state=failed_via_diagnose | move_error=Increasing the number of parents is not allowed
