batch_id,source_file_id,source_file_name,copied_file_id,destination_project,destination_folder_name,destination_folder_id,seed_action,safety_gate,copy_status,copied_at,executor,notes
BATCH-004-TRADESCOUT-CONTRACTORS,1pINtlCkdodyujJ2U4kJ_uKsWeunTIfot,Screenshot_20260601_154620_Facebook.jpg,1BCkWnYMkEt-yay-RBXm6QPtGlPH8W20g,TradeScout / Contractor Intake,TradeScout_Contractors/Roofing,1bnuNcczRSqpZ13YJmIAhavkTit5LQCNR,do_not_seed_to_mealscout,contractor_project_only,copied,2026-06-07T01:12:53.039Z,flavo,Contractor screenshot; explicitly excluded from MealScout/Merlin food seeding
BATCH-001-MEALSCOUT-MERLIN-SEED,1B0dXVM2qslvPpND4LVztg84-N3GnbwoF,IMG_5982.PNG,1K5PFW9EpXFxdcn4e1uG9yVl3EYiby7hz,Merlin / MealScout,MealScout_Merlin_Evidence_Seeds,1dl0sLA-vF9kuf5TwWo1blIthsrHJe45w,seed_to_merlin_evidence,merlin_export_contract_required,copied,2026-06-07T01:12:56.112Z,flavo,Food business evidence seed route only after move
BATCH-001-MEALSCOUT-MERLIN-SEED,1xHQnlIjrIBF8WaI1ly2fibLl8IkQqKJB,IMG_5980.PNG,1KSzZYSFBW6TUcnnEj0gq54i-Xu701ntc,Merlin / MealScout,MealScout_Merlin_Evidence_Seeds,1dl0sLA-vF9kuf5TwWo1blIthsrHJe45w,seed_to_merlin_evidence,merlin_export_contract_required,copied,2026-06-07T01:12:58.666Z,flavo,Food business evidence seed route only after move
BATCH-002-MEALSCOUT-REVIEW,1MteEYZxSUfaJ_G1fnQqt2JxXc4FG0QDJ,IMG_5979.PNG,1BEMK9jttoTih17k__zrc5NNMHEZEi_1U,Merlin / MealScout,Restaurants_Needs_Review,1Rg39XOT2Fo-Ggewg0LrPTRZrPqkxtlBJ,hold_for_review_before_seed,manual_review_required,copied,2026-06-07T01:13:00.449Z,flavo,Requires manual review before any seed action
BATCH-003-MEALSCOUT-BLOCKED,1SmNwaEG_QiG9KpR-f5d8CDfyeT-9xik1,IMG_5981.PNG,1EzozrmWddXnpKxsALPBzLIDzYFVwioby,Merlin / MealScout,MealScout_Blocked_From_Seed,1vIs-b5sWyGxKQfZop8urysYy105zRZ0X,block_from_seed,do_not_seed,copied,2026-06-07T01:13:02.875Z,flavo,Invalid extraction identity blocked from seed
BATCH-006-UNKNOWN-MANUAL-CLASSIFICATION,1LvSG-Vn9D137OrlevhCgQR3h1KYP01jm,IMG_5983.PNG,11AshvzoQAAIar4DdtzUyYIQGqesMW8fB,Unknown,Unknown_Project,1PZ1_ZSInZ77Kz4Zae64h-VHCc4LkUenc,hold_for_manual_classification,no_seed,copied,2026-06-07T01:13:05.194Z,flavo,Missing identity signals hold for manual classification
